date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-07-06,0.333,0.41,0.333,0.41,0.41,1581,1581,0.077,23.123,0.38433,"July 06, 22",0.23123
2022-07-05,0.3,0.44,0.29,0.44,0.44,10999,10999,0.14,46.667,0.39,"July 05, 22",0.46667
2022-07-01,0.29,0.29,0.29,0.29,0.29,780,780,0,0,0.29,"July 01, 22",0
2022-06-30,0.28,0.29,0.28,0.29,0.29,3484,3484,0.01,3.571,0.28667,"June 30, 22",0.03571
2022-06-29,0.2801,0.2801,0.2801,0.2801,0.2801,100,100,0,0,0.2801,"June 29, 22",0
2022-06-28,0.27,0.44,0.27,0.28,0.28,796,796,0.01,3.704,0.33,"June 28, 22",0.03704
2022-06-27,0.42,0.42,0.26,0.26,0.26,5612,5612,-0.16,-38.095,0.31333,"June 27, 22",-0.38095
2022-06-24,0.4399,0.44,0.4399,0.44,0.44,825,825,0.0001,0.023,0.43997,"June 24, 22",0.00023
2022-06-23,0.48,0.5,0.28,0.3,0.3,12009,12009,-0.18,-37.5,0.36,"June 23, 22",-0.375
2022-06-22,0.253,0.5099,0.253,0.253,0.253,3073,3073,0,0,0.33863,"June 22, 22",0
2022-06-21,0.25,0.2801,0.25,0.28,0.28,2407,2407,0.03,12,0.27003,"June 21, 22",0.12
2022-06-17,0.25,0.51,0.25,0.25,0.25,517,517,0,0,0.33667,"June 17, 22",0
2022-06-16,0.28,0.2801,0.28,0.2801,0.2801,2100,2100,0.0001,0.036,0.28007,"June 16, 22",0.00036
2022-06-15,0.5199,0.5199,0.2,0.26,0.26,4770,4770,-0.2599,-49.99,0.32663,"June 15, 22",-0.4999
2022-06-14,0.55,0.55,0.2,0.5199,0.5199,5908,5908,-0.0301,-5.473,0.4233,"June 14, 22",-0.05473
2022-06-13,0.565,0.565,0.4999,0.5,0.5,2889,2889,-0.065,-11.504,0.52163,"June 13, 22",-0.11504
2022-06-10,0.28,0.28,0.28,0.28,0.28,956,956,0,0,0.28,"June 10, 22",0
2022-06-09,0.37,0.4,0.3427,0.3427,0.3427,22603,22603,-0.0273,-7.378,0.3618,"June 09, 22",-0.07378
2022-06-08,0.6998,0.6998,0.35,0.37,0.37,3835,3835,-0.3298,-47.128,0.47327,"June 08, 22",-0.47128
2022-06-07,0.7,0.7,0.2611,0.4,0.4,5945,5945,-0.3,-42.857,0.4537,"June 07, 22",-0.42857
2022-06-06,0.2501,0.8,0.25,0.25,0.25,58172,58172,-0.0001,-0.04,0.43333,"June 06, 22",-0.0004
2022-06-03,0.4,0.4,0.4,0.4,0.4,,,0,0,,"June 03, 22",0
2022-06-02,0.5099,0.51,0.25,0.4,0.4,7811,7811,-0.1099,-21.553,0.38667,"June 02, 22",-0.21553
2022-06-01,0.25,0.55,0.22,0.55,0.55,19713,19713,0.3,120,0.44,"June 01, 22",1.2
2022-05-31,0.25,0.25,0.25,0.25,0.25,6932,6932,0,0,0.25,"May 31, 22",0
2022-05-27,0.1553,0.22,0.1553,0.22,0.22,6536,6536,0.0647,41.661,0.19843,"May 27, 22",0.41661
